userid,musicid
107EBCED,0006cc7b-3c0f-43a5-8a1f-c9841a72f434
107EBCED,00f28803-661f-4d86-8738-ad1777e2b259
107EBCED,01211ac6-19e7-4be8-aa49-7467fce44049
107EBCED,0123bed4-c0d6-4b8b-be6b-f3308d659859
107EBCED,01485486-8767-413c-8812-7d31cfe8188a
107EBCED,015800dc-0c47-4607-9950-ef7358451919
107EBCED,0172a128-7d00-4a4e-a445-d112d5dd7000
107EBCED,019f9b56-5649-4106-ab8e-cccfd7ca9878
107EBCED,01a82788-09d9-43fe-9268-6ca1bea6022b
107EBCED,02105f2a-b31b-45fa-8bfe-23c764288c15
107EBCED,02141459-4fce-48bc-ac4b-6eadb037fdc2
107EBCED,022cf615-7ef0-4fa5-a6bb-8cb452128668
107EBCED,023418f4-aaab-474a-9baf-0b5788212231
107EBCED,024a661f-f6ec-4f83-98ba-bb6f2e7d3163
107EBCED,026045d5-ba7e-47fd-a0de-39cedb567807
107EBCED,029c9f7c-8cd7-48bb-980b-d884e531cb5b
107EBCED,02a3d2ac-c1e3-49e4-9e40-f5e4e2b341af
107EBCED,02bda3af-6669-49ff-8b2a-86074f9b1e62
189AD00F,02bf00a9-c604-4341-b6cd-aca4ea086686
189AD00F,031756bb-59c2-4d7a-abee-c1a60586a75d
189AD00F,03267f95-29af-47cd-ba71-938be0e98350
189AD00F,0370e16a-1d1d-4fa5-b6f1-0bae1a10a3c9
189AD00F,0388be31-e307-4018-8379-812de2aedc92
189AD00F,038efd3f-1c51-4bb3-8786-3843e0e8c5e5
189AD00F,039fc7e9-fe18-4c6e-958e-fb1b620f547b
189AD00F,03afb6f1-5425-4845-92c4-fc6a6c236c8e
189AD00F,03b0d4a1-586d-4d40-82cc-bf1f96843922
189AD00F,043572fd-837d-4304-bd96-7f5b64fcff86
1C74A8A5,046ef520-444a-4777-b259-989e2bfc9eca
1C74A8A5,047a3512-0961-4daf-ba94-90cdb2875658
1C74A8A5,04836812-1349-482d-8d94-3aae49a09204
1C74A8A5,04afea9b-f5b6-4c45-96a6-1b3b121906c9
1C74A8A5,04b6034d-bc96-4c17-9337-5c2f096b5897
1C74A8A5,04e25eb1-fec2-43af-8729-8d899528fde9
1C74A8A5,04e9dcf6-9af3-41d7-87c2-74b99e275f80
1C74A8A5,04fbbf6e-5420-482e-a594-b6da6a88e734
1C74A8A5,051a5f31-1b2c-479d-8499-421f18103dc1
1C74A8A5,0583287d-d82e-41d5-a71a-8444c18e40e8
1C74A8A5,05ab8f89-0dc8-4d45-a86b-8cd40124366b
1C74A8A5,05b7f58d-ab29-4127-b450-41e70909485b
1C74A8A5,05ecc194-8002-48dc-90e0-d1fdde208da0
1C74A8A5,05ef6318-772f-4c54-9edc-8fbdacec129c
1DEFC42A,0602f8d4-b7dd-44b0-899a-30b9eab66ed5
1DEFC42A,0604f296-65f4-4827-90dc-1b87d8df58ad
1DEFC42A,06213373-d630-4453-820e-f6adb8dc9286
1DEFC42A,065e0f00-cc91-4b92-8897-8e5dff07ed64
1DEFC42A,069d8f43-5284-4d3a-83e0-f08eba232e4a
1DEFC42A,0700fb0b-87a2-4029-b8db-cff68fe90526
1DEFC42A,07086aaf-562f-4d4c-8dce-c65aed8ad266
1DEFC42A,073b72cc-8a5c-473b-830a-3d2609e78988
1DEFC42A,0750b902-3ac2-4e77-9dac-efd73da6862e
